ID	PCOA1	PCOA2	Abd_type	SampleID
S001	0.279114253890688	-0.769382260339184	Taxonomic	sample_1
S002	0.177505161439509	1.17409038967195	Taxonomic	sample_2
S003	-0.258819831515565	0.12176975767627	Taxonomic	sample_3
S004	-0.0718572096057549	-1.20352188209586	Taxonomic	sample_4
S005	-0.0202803509604116	0.0889649635552828	Taxonomic	sample_5
S006	-1.04787293650727	2.27107530345641	Taxonomic	sample_6
S007	0.267190819895824	0.898869972632647	Taxonomic	sample_7
S008	0.900502004332379	0.465471671385193	Taxonomic	sample_8
S009	0.7909568793711	1.74254717114878	Taxonomic	sample_9
S010	2.89254219945081	-0.0384000782033542	Taxonomic	sample_10
S011	-0.0122063339728392	-1.64181839752519	Taxonomic	sample_11
S012	2.05075198427246	-0.644065336628047	Taxonomic	sample_12
S013	0.0782884414444548	1.65534109108923	Taxonomic	sample_13
S014	0.891038163509431	1.80858998914836	Taxonomic	sample_14
S015	-1.32283050000079	-0.536450527932882	Taxonomic	sample_15
S016	-2.46234131568391	0.28320262003741	Taxonomic	sample_16
S017	-2.21822947960664	-0.160783178107152	Taxonomic	sample_17
S018	1.68361301744229	0.401865425672362	Taxonomic	sample_18
S019	0.202124699412459	-0.791110979093674	Taxonomic	sample_19
S020	-0.196153298739669	-0.217797925975465	Taxonomic	sample_20
S021	-0.4912282774166	1.05807371461186	Taxonomic	sample_21
S022	1.51227210591723	0.735582167236426	Taxonomic	sample_22
S023	-1.69375564193646	-0.126476399413649	Taxonomic	sample_23
S024	0.540479684994367	-0.622366286897075	Taxonomic	sample_24
S025	0.906830036429969	0.273300728663035	Taxonomic	sample_25
S026	1.21451541487122	-1.83002370447006	Taxonomic	sample_26
S027	0.634168215999823	0.377426640020909	Taxonomic	sample_27
S028	-1.18797131244991	-1.84404708848087	Taxonomic	sample_28
S029	0.773168483467393	1.25396847249528	Taxonomic	sample_29
S030	0.485668443342399	0.492510789357838	Taxonomic	sample_30
S031	-0.572062522301134	1.01005342457431	Taxonomic	sample_31
S032	-0.878541375277378	-0.198220987299151	Taxonomic	sample_32
S033	-0.0354570545399631	0.384362458415111	Taxonomic	sample_33
S034	0.341853199776007	0.753275475046557	Taxonomic	sample_34
S035	-1.20562502708383	-0.595507062435269	Taxonomic	sample_35
S036	1.28662564440436	-1.61379252179195	Taxonomic	sample_36
S037	-0.233359854148187	-0.165549308102878	Taxonomic	sample_37
S038	1.3149237956801	0.125932747888454	Taxonomic	sample_38
S039	-1.15137561299486	1.74721461203175	Taxonomic	sample_39
S040	-1.09865567334606	0.301122719160407	Taxonomic	sample_40
S041	-0.143698909538388	1.40139642603598	Taxonomic	sample_41
S042	-0.68739829146541	0.967819674243574	Taxonomic	sample_42
S043	-1.78673450936631	-0.947688604776839	Taxonomic	sample_43
S044	-0.294012654849243	-1.64789971935764	Taxonomic	sample_44
S045	0.289945619961548	0.42366059520906	Taxonomic	sample_45
