ID	UMAP1	UMAP2	Abd_type	SampleID
S001	2.51491151458757	1.18476772514068	Taxonomic	sample_1
S002	1.24294825387924	-1.87194848944182	Taxonomic	sample_2
S003	3.06739385096048	0.574610199165218	Taxonomic	sample_3
S004	0.244551123489883	0.802043764005803	Taxonomic	sample_4
S005	-1.00549302427	2.0922554444356	Taxonomic	sample_5
S006	1.35357362824977	2.11645034414961	Taxonomic	sample_6
S007	-2.97842480957938	-2.08142127045647	Taxonomic	sample_7
S008	-1.58683269880572	0.11312334934853	Taxonomic	sample_8
S009	-2.67898918672247	-0.75782736266665	Taxonomic	sample_9
S010	-1.06021107244864	-0.0658571726594779	Taxonomic	sample_10
S011	1.50509408412701	2.02397838972191	Taxonomic	sample_11
S012	-2.88777525634209	-1.76247781588908	Taxonomic	sample_12
S013	-2.04256156671499	0.216759052971597	Taxonomic	sample_13
S014	-0.628321049324427	0.702140586772958	Taxonomic	sample_14
S015	0.757248967142153	-2.10530574573826	Taxonomic	sample_15
S016	-2.9114167276522	-1.13136588883512	Taxonomic	sample_16
S017	-1.15602617069626	2.07613792083993	Taxonomic	sample_17
S018	-1.31052723522317	2.28935437637832	Taxonomic	sample_18
S019	-1.13657802799715	-0.704120194890798	Taxonomic	sample_19
S020	2.57100224153139	1.74297424144491	Taxonomic	sample_20
S021	0.50675304552413	-0.996397559809981	Taxonomic	sample_21
S022	-2.67579116353037	-1.16582239285906	Taxonomic	sample_22
S023	-2.69075920462354	-2.04962220417253	Taxonomic	sample_23
S024	1.52459949400739	2.75874403815894	Taxonomic	sample_24
S025	-0.101381941914924	0.426698437211069	Taxonomic	sample_25
S026	3.00708923183917	0.683944729737697	Taxonomic	sample_26
S027	1.76929803478819	-1.16285223266147	Taxonomic	sample_27
S028	2.02169622961529	-0.919015620261842	Taxonomic	sample_28
S029	-0.906836331557224	-1.911793995474	Taxonomic	sample_29
S030	1.22099842913661	1.99418999515384	Taxonomic	sample_30
S031	-1.26409345112505	2.39739676030294	Taxonomic	sample_31
S032	0.785682639317802	0.296306680116557	Taxonomic	sample_32
S033	-1.42667482703675	-0.319654176426699	Taxonomic	sample_33
S034	-0.438741911833686	0.155757785310313	Taxonomic	sample_34
S035	-1.69832647073641	0.354422295977407	Taxonomic	sample_35
S036	-2.41202664483559	-1.80381289024152	Taxonomic	sample_36
S037	-2.45826326248763	-2.05289638507949	Taxonomic	sample_37
S038	1.32796141590454	-2.01785320787636	Taxonomic	sample_38
S039	-2.09128507132552	-2.12571833319719	Taxonomic	sample_39
S040	-2.54488767537845	-0.0308185289910121	Taxonomic	sample_40
S041	-2.43289220609828	0.538571650818484	Taxonomic	sample_41
S042	2.51973694377066	1.15976268161016	Taxonomic	sample_42
S043	-2.63748030264251	-1.09541952374398	Taxonomic	sample_43
S044	-0.582986135906395	-1.8184868802233	Taxonomic	sample_44
S045	2.50783734225857	0.809469422391328	Taxonomic	sample_45
S046	-1.41702592351237	-0.722333950363358	Taxonomic	sample_46
S047	1.54063915880361	-1.52875413036778	Taxonomic	sample_47
S048	0.0416507173661484	-0.903609428156666	Taxonomic	sample_48
S049	3.58280099450065	0.7526509045592	Taxonomic	sample_49
S050	2.71601845739121	-0.019952710130833	Taxonomic	sample_50
S051	-3.09683954536525	-1.50507977529942	Taxonomic	sample_51
S052	2.0832212777235	1.86974310098461	Taxonomic	sample_52
S053	-0.170409109177025	-2.1331496019056	Taxonomic	sample_53
S054	1.04118146768775	1.58716349589069	Taxonomic	sample_54
S055	3.18289732139861	0.507676643606141	Taxonomic	sample_55
S056	1.35042532632137	2.59764744007258	Taxonomic	sample_56
S057	1.64764260658354	2.29921848369612	Taxonomic	sample_57
S058	3.43186200527336	0.813021490465193	Taxonomic	sample_58
S059	-1.82718561440875	-1.5970074860329	Taxonomic	sample_59
S060	-1.28035764834847	-1.29819613399936	Taxonomic	sample_60
S061	-2.06221282449352	-0.983356322942158	Taxonomic	sample_61
S062	-2.54710219775138	-0.842290019307304	Taxonomic	sample_62
S063	0.234970690567373	0.772118092096212	Taxonomic	sample_63
S064	-1.94439993754628	-2.15754636556842	Taxonomic	sample_64
S065	3.57370002677431	0.448800187334176	Taxonomic	sample_65
S066	-0.539005734490068	-0.518805735438687	Taxonomic	sample_66
S067	1.52750993904746	1.86356095092691	Taxonomic	sample_67
S068	1.75312945773813	2.54785185045767	Taxonomic	sample_68
S069	-0.630122875059436	-0.372117527391037	Taxonomic	sample_69
S070	-0.435795065916838	0.444333933356625	Taxonomic	sample_70
S071	-0.217410402151641	-0.248244265813095	Taxonomic	sample_71
S072	-1.80671754724516	0.680026177900571	Taxonomic	sample_72
S073	2.34677844238906	-0.440284748128484	Taxonomic	sample_73
S074	3.53249944001169	0.655980809380949	Taxonomic	sample_74
S075	-1.06859774789149	2.52713515708849	Taxonomic	sample_75
S076	1.31029386399654	-1.4448831025603	Taxonomic	sample_76
S077	-2.73346742120238	-0.212208841524893	Taxonomic	sample_77
S078	-0.799624805292328	-1.06503286454525	Taxonomic	sample_78
S079	0.371072192893689	0.918175120669738	Taxonomic	sample_79
S080	2.02818192381222	2.28303253306795	Taxonomic	sample_80
S081	-0.951654376804894	2.56237174849891	Taxonomic	sample_81
S082	-0.899974828859588	-1.70421242738255	Taxonomic	sample_82
S083	1.02280261724107	-1.92388101747663	Taxonomic	sample_83
S084	-0.208795288067138	-2.31665874410037	Taxonomic	sample_84
S085	-2.7004595382368	-0.132207054676224	Taxonomic	sample_85
S086	1.41451117285307	-1.80646020460621	Taxonomic	sample_86
S087	2.97705949014617	0.126514405241651	Taxonomic	sample_87
S088	-1.32772598308946	2.55493868855543	Taxonomic	sample_88
S089	-1.86404867275788	-1.91881954952264	Taxonomic	sample_89
S090	0.232020987258134	-1.97495131695864	Taxonomic	sample_90
