ID	t_SNE1	t_SNE2	Abd_type	SampleID
S001 	4.72929091714029	-4.62483775584021	Taxonomic	sample_1
S002 	1.21592539940642	-3.40539476772024	Taxonomic	sample_2
S003 	4.9844903621028	-1.34526139864402	Taxonomic	sample_3
S004 	-5.03331757730552	-1.00011071743887	Taxonomic	sample_4
S005 	-4.508039834373	4.66369760241857	Taxonomic	sample_5
S006 	-4.14212756030328	-4.16429888663611	Taxonomic	sample_6
S007 	3.46373517247515	2.24247087632562	Taxonomic	sample_7
S008 	-0.0706668771673544	6.21484550420759	Taxonomic	sample_8
S009 	0.170955587354771	3.44646276485562	Taxonomic	sample_9
S010 	-0.784859421703833	5.30688404397212	Taxonomic	sample_10
S011 	-3.5002236223756	-3.96470194297785	Taxonomic	sample_11
S012 	2.96783542052869	2.79552273985168	Taxonomic	sample_12
S013 	-0.552436949637921	6.24719782479416	Taxonomic	sample_13
S014 	-5.31420163972199	1.5650130243432	Taxonomic	sample_14
S015 	1.34868653165462	-1.88264466804045	Taxonomic	sample_15
S016 	2.12568066158933	3.82903229491821	Taxonomic	sample_16
S017 	-4.69044381567751	3.60331810656203	Taxonomic	sample_17
S018 	-3.64812813985285	4.28077833398037	Taxonomic	sample_18
S019 	-1.93436029624085	1.70629357397456	Taxonomic	sample_19
S020 	5.82217959296755	-5.90901290546574	Taxonomic	sample_20
S021 	-1.30136891704455	-1.93512652696841	Taxonomic	sample_21
S022 	1.41950355911643	3.09494824878286	Taxonomic	sample_22
S023 	3.30835951311251	1.62918103614028	Taxonomic	sample_23
S024 	-2.19343824753481	-3.64436995780473	Taxonomic	sample_24
S025 	-4.57107064497582	-0.0371275453918194	Taxonomic	sample_25
S026 	5.85244995604086	-2.82488024307376	Taxonomic	sample_26
S027 	1.82938807918059	-5.43823220246297	Taxonomic	sample_27
S028 	3.01680485029035	-2.46837345422293	Taxonomic	sample_28
S029 	0.851180563300758	0.593937194120398	Taxonomic	sample_29
S030 	-4.48616289607835	-3.40114793382746	Taxonomic	sample_30
S031 	-3.98193710875826	3.7795321144733	Taxonomic	sample_31
S032 	-0.691701829500556	-5.92788455345925	Taxonomic	sample_32
S033 	0.290412088924049	5.41004699740996	Taxonomic	sample_33
S034 	-3.8911519294084	0.576189080159827	Taxonomic	sample_34
S035 	-0.562521372484862	6.99469651576932	Taxonomic	sample_35
S036 	2.06339383438282	2.38417954540935	Taxonomic	sample_36
S037 	2.33691709581888	2.13516670493732	Taxonomic	sample_37
S038 	1.72109250002911	-2.72682671918741	Taxonomic	sample_38
S039 	2.02577180654895	1.19782976477923	Taxonomic	sample_39
