tax_id	taxonomy	type	name	kingdom	score	score_normalized	reads	unambiguous	reference_length
1	root	root	root	root	18115.694813234928	100.00000000000018	51523	51523	0
2	root|cellular_organisms|Bacteria	superkingdom	Bacteria	Bacteria	18115.694813234928	100.00000000000018	51523	51523	0
1380374	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._URHA0057	species	Staphylococcus_sp._URHA0057	Bacteria	0.0033524401985270385	1.850572243068327E-5	2	0	2549675
79881	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_gibsonii	species	Bacillus_gibsonii	Bacteria	0.02724419791791557	1.5039002477570317E-4	8	0	4100094
79880	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_clausii	species	Bacillus_clausii	Bacteria	0.04653942934156258	2.569011557180824E-4	6	0	0
1529886	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_subtilis_group|Bacillus_atrophaeus|Bacillus_atrophaeus_subsp._globigii	subspecies	Bacillus_atrophaeus_subsp._globigii	Bacteria	0.07046736603439385	3.889851687218196E-4	9	0	4175060
79883	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_horikoshii	species	Bacillus_horikoshii	Bacteria	0.011105015475574773	6.130052195106187E-5	4	0	0
79885	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_pseudofirmus	species	Bacillus_pseudofirmus	Bacteria	4966.371023075786	27.414742157432023	26055	16485	0
1581077	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._HMSC10B09	species	Staphylococcus_sp._HMSC10B09	Bacteria	0.0038927228111053144	2.148812315087834E-5	2	0	2195798
1581078	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._HMSC10C03	species	Staphylococcus_sp._HMSC10C03	Bacteria	0.003125537691324698	1.7253203498665468E-5	2	0	2734772
999424	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_sp._F0441	species	Streptococcus_sp._F0441	Bacteria	0.16661251759844717	9.19713647840429E-4	1	0	2000650
1581068	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus_sp._HMSC29A04	species	Enterococcus_sp._HMSC29A04	Bacteria	0.0033055094280896834	1.8246661042637212E-5	1	0	4321789
333849	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Enterococcaceae|Enterococcus|Enterococcus_faecium|Enterococcus_faecium_DO	no_rank	Enterococcus_faecium_DO	Bacteria	0.06606909591941076	3.647063863713371E-4	3	0	3052572
1564681	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Carnobacteriaceae|Carnobacterium|Carnobacterium_sp._CP1	species	Carnobacterium_sp._CP1	Bacteria	0.03110373683786102	1.7169497034768115E-4	6	0	2614401
1581062	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_sp._HMSC24D01	species	Lactobacillus_sp._HMSC24D01	Bacteria	0.6545574498041188	0.0036132064298516147	14	0	1914489
1581063	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_sp._HMSC25A02	species	Lactobacillus_sp._HMSC25A02	Bacteria	0.0020123740072757784	1.1108456109591359E-5	1	0	2957890
1622072	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_testis	species	Bacillus_testis	Bacteria	0.013028155903355787	7.191640197999652E-5	4	0	3987368
155680	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_entericus	species	Streptococcus_entericus	Bacteria	0.028885074261792824	1.59447785798915E-4	2	0	0
1095730	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Streptococcaceae|Streptococcus|Streptococcus_anginosus_group|Streptococcus_constellatus|Streptococcus_constellatus_subsp._constellatus|Streptococcus_constellatus_subsp._constellatus_SK53	no_rank	Streptococcus_constellatus_subsp._constellatus_SK53	Bacteria	0.1716840316212837	9.477087872768212E-4	3	0	1840061
1329200	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Fictibacillus	genus	Fictibacillus	Bacteria	0.9512629316221186	0.005251043039912107	22	0	0
1628211	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Bacillus|Bacillus_sp._LK10	species	Bacillus_sp._LK10	Bacteria	0.0016140342993909665	8.909590915672424E-6	1	0	3687890
1622070	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Paenibacillaceae|Paenibacillus|Paenibacillus_sp._GM2	species	Paenibacillus_sp._GM2	Bacteria	0.0014618694887273587	8.069629698438653E-6	1	0	5846629
1007676	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Lactobacillales|Lactobacillaceae|Lactobacillus|Lactobacillus_ginsenosidimutans	species	Lactobacillus_ginsenosidimutans	Bacteria	0.04323238286500983	2.3864601005214522E-4	5	0	2590556
1581100	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Staphylococcaceae|Staphylococcus|Staphylococcus_sp._HMSC14C08	species	Staphylococcus_sp._HMSC14C08	Bacteria	0.0034358531327496637	1.8966168110976377E-5	2	0	2487776
946235	root|cellular_organisms|Bacteria|Terrabacteria_group|Firmicutes|Bacilli|Bacillales|Bacillaceae|Oceanobacillus|Oceanobacillus_massiliensis|Oceanobacillus_massiliensis_str._N'diop	no_rank	Oceanobacillus_massiliensis_str._N'diop	Bacteria	0.011882037510183265	6.558974211412618E-5	2	0	3593561
