taxID	abd_species	abd_all
7	1.68297E-06	8.33335E-07
9	7.06849E-06	3.50001E-06
11	2.01957E-06	1E-06
14	0.002346738	0.001162002
17	3.36595E-07	1.66667E-07
19	3.70254E-06	1.83334E-06
21	2.35616E-06	1.16667E-06
23	6.02504E-05	2.98334E-05
24	4.34207E-05	2.15E-05
25	5.82309E-05	2.88334E-05
33	1.68297E-06	8.33335E-07
34	3.36595E-07	1.66667E-07
35	1.68297E-06	8.33335E-07
41	5.72211E-06	2.83334E-06
43	6.73189E-06	3.33334E-06
48	8.41486E-06	4.16667E-06
51	7.74168E-06	3.83334E-06
52	4.71232E-06	2.33334E-06
54	8.07827E-06	4.00001E-06
56	3.9045E-05	1.93334E-05
61	3.36595E-07	1.66667E-07
63	5.38551E-06	2.66667E-06
69	3.36595E-06	1.66667E-06
72	1.34638E-06	6.66668E-07
86	1.00978E-06	5.00001E-07
94	2.35616E-06	1.16667E-06
100	4.37573E-06	2.16667E-06
102	6.73189E-07	3.33334E-07
103	1.68297E-06	8.33335E-07
104	1.68297E-06	8.33335E-07
114	1.00978E-06	5.00001E-07
119	2.01957E-06	1E-06
120	6.73189E-07	3.33334E-07
124	3.70254E-06	1.83334E-06
125	1.00978E-06	5.00001E-07
128	3.36595E-06	1.66667E-06
134	2.01957E-06	1E-06
139	3.36595E-07	1.66667E-07
140	5.38551E-06	2.66667E-06
141	3.36595E-07	1.66667E-07
142	6.73189E-07	3.33334E-07
143	1.68297E-06	8.33335E-07
144	1.00978E-06	5.00001E-07
148	3.36595E-07	1.66667E-07
154	1.68297E-06	8.33335E-07
158	3.36595E-07	1.66667E-07
159	6.73189E-07	3.33334E-07
162	1.00978E-06	5.00001E-07
163	3.02935E-06	1.5E-06
164	1.00978E-06	5.00001E-07
165	6.73189E-07	3.33334E-07
167	3.36595E-07	1.66667E-07
172	3.36595E-07	1.66667E-07
173	4.37573E-05	2.16667E-05
174	0.00336157	0.001664503
180	1.00978E-06	5.00001E-07
183	1.34638E-06	6.66668E-07
188	1.34638E-06	6.66668E-07
189	5.04892E-06	2.5E-06
190	2.69276E-06	1.33334E-06
192	2.35616E-05	1.16667E-05
193	7.06849E-06	3.50001E-06
195	9.42465E-06	4.66668E-06
196	2.69276E-06	1.33334E-06
197	1.78395E-05	8.83335E-06
198	1.34638E-06	6.66668E-07
